KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R11138		dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose <=> dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose	MNXR114437					
R11139		dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose <=> dTDP-L-ristosamine	MNXR114438					
R11140	1,3-alpha-D-glucan:phosphate beta-D-glucosyltransferase	1,3-alpha-D-Glucan(n) + (n-2) Orthophosphate <=> Nigerose + (n-2) beta-D-Glucose 1-phosphate						
R11141	pyruvate:(E)-oct-2-enal acetaldehydetransferase (decarboxylating)	Pyruvate + trans-2-Octenal <=> (S)-3-Acetyloctanal + CO2	MNXR114440	42832;42833;42834;42835	rxn42928		RXN-15769	
R11142	5beta-cholestane-3alpha,7alpha,12alpha-triol,adrenodoxin:oxygen oxidoreductase (26-hydroxylating)	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane + 6 Reduced adrenal ferredoxin + 6 H+ + 3 Oxygen <=> 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate + 6 Oxidized adrenal ferredoxin + 4 H2O	MNXR114441		rxn43495		RXN-13690	
R11143	[lipoyl-carrier protein]-L-lysine:lipoate ligase (AMP-forming)	ATP + (R)-Lipoate + Apoprotein <=> Protein N6-(lipoyl)lysine + AMP + Diphosphate	MNXR114442					
R11144	isolithocholate:NAD+ 3-oxidoreductase	Isolithocholate + NAD+ <=> 3-Oxo-5beta-cholanate + NADH + H+	MNXR151007	47508;47509;47510;47511	rxn41954		RXN-17409	10110
R11145	lithocholate:NADP+ 3-oxidoreductase	Lithocholic acid + NADP+ <=> 3-Oxo-5beta-cholanate + NADPH + H+	MNXR151009	47496;47497;47498;47499	rxn23106		RXN-12689	10578
R11146	isolithocholate:NADP+ 3-oxidoreductase	Isolithocholate + NADP+ <=> 3-Oxo-5beta-cholanate + NADPH + H+	MNXR114445	47520;47521;47522;47523	rxn42689		RXN-17395	
R11147		3,4-Dihydroxy-2-methy-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide + NAD+ <=> 4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide + NADH + H+	MNXR114446	48728;48729;48730;48731				
R11148		Aurachin B + H2O <=> 3,4-Dihydroxy-2-methy-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide	MNXR114447	48724;48725;48726;48727	rxn46554		RXN-17336	
R11149	aurachin B:NAD+ 3-oxidoreductase	Aurachin B + NAD+ + H2O <=> 4-Hydroxy-2-methyl-3-oxo-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide + NADH + H+	MNXR114448	48720;48721;48722;48723	rxn42270		RXN-17420	
R11150	4-methyl-5-nitrocatechol,NADH:oxygen 5-oxidoreductase (5-hydroxylating, nitrite-forming)	4-Methyl-5-nitrocatechol + NADH + Oxygen + H+ <=> 2-Hydroxy-5-methylquinone + NAD+ + Nitrite + H2O	MNXR114449	48016;48017;48018;48019				
R11151	rifampicin:NADH:oxygen oxidoreductase (2'-N-hydroxyrifampicin-forming)	Rifampicin + NADH + Oxygen + H+ <=> 2'-N-Hydroxyrifampicin + NAD+ + H2O	MNXR114450	48988;48989;48990;48991				
R11152	rifampicin:NADPH:oxygen oxidoreductase (2'-N-hydroxyrifampicin-forming)	Rifampicin + NADPH + Oxygen + H+ <=> 2'-N-Hydroxyrifampicin + NADP+ + H2O	MNXR114451	46596;46597;46598;46599				
R11153	1,3,7-trimethylurate,NADH:oxygen oxidoreductase (1,3,7-trimethyl-5-hydroxyisourate forming)	1,3,7-Trimethyluric acid + NADH + H+ + Oxygen <=> 1,3,7-Trimethyl-5-hydroxyisourate + NAD+ + H2O	MNXR114452	48992;48993;48994;48995	rxn47409		RXN-15454	
R11154	S-adenosyl 3-(methylthio)propylamine:spermidine 3-aminopropyltransferase [N4-bis(aminopropyl)spermidine synthesizing]	2 S-Adenosylmethioninamine + Spermidine <=> 2 5'-Methylthioadenosine + N4-Bis(aminopropyl)spermidine	MNXR114453	44132;44133;44134;44135	rxn45494		RXN-15866	
R11155	protoasukamycin,NADH:oxygen oxidoreductase (4-hydroxylating)	Protoasukamycin + NADH + H+ + Oxygen <=> 4-Hydroxyprotoasukamycin + NAD+ + H2O	MNXR114454	49044;49045;49046;49047	rxn46399		RXN-17359	
R11156	asperlicin C,NADH:oxygen oxidoreductase	Asperlicin C + NADH + H+ + Oxygen <=> Asperlicin E + NAD+ + H2O	MNXR114455	49052;49053;49054;49055				
R11157	asperlicin C,NADPH:oxygen oxidoreductase	Asperlicin C + NADPH + H+ + Oxygen <=> Asperlicin E + NADP+ + H2O	MNXR114456	49056;49057;49058;49059				
R11158	protodeoxyviolaceinate,NADH:O2 oxidoreductase	Protodeoxyviolaceinic acid + NADH + H+ + Oxygen <=> Protoviolaceinic acid + NAD+ + H2O	MNXR114457	49372;49373;49374;49375				
R11159	S-adenosyl 3-(methylthio)propylamine:spermidine 3-aminopropyltransferase (N4-aminopropylspermidine synthesizing)	S-Adenosylmethioninamine + Spermidine <=> 5'-Methylthioadenosine + N4-Aminopropylspermidine	MNXR114458	42876;42877;42878;42879	rxn40959		RXN-15864	
R11160	S-adenosyl 3-(methylthio)propylamine:N4-aminopropylspermidine 3-aminopropyltransferase [N4-bis(aminopropyl)spermidine synthesizing]	S-Adenosylmethioninamine + N4-Aminopropylspermidine <=> 5'-Methylthioadenosine + N4-Bis(aminopropyl)spermidine	MNXR114459	42872;42873;42874;42875	rxn46824		RXN-15865	
R11161		Dibenzothiophene + Reduced FMN + Oxygen <=> Dibenzothiophene-5-oxide + FMN + H2O	MNXR192294					
R11162		Dibenzothiophene-5-oxide + Reduced FMN + Oxygen <=> Dibenzothiophene-5,5-dioxide + FMN + H2O	MNXR192296					
R11163	dibenzothiophene,FMNH2:oxygen oxidoreductase	Dibenzothiophene + 2 Reduced FMN + 2 Oxygen <=> Dibenzothiophene-5,5-dioxide + 2 FMN + 2 H2O	MNXR192298					
R11164	dibenzothiophene-5,5-dioxide,FMNH2:oxygen oxidoreductase	Dibenzothiophene-5,5-dioxide + 2 Reduced FMN + Oxygen <=> 2'-Hydroxybiphenyl-2-sulfinate + 2 FMN + H2O	MNXR192300					
R11165	S-adenosyl-L-methionine:2-[(3S)-3-carboxy-3-aminopropyl]-L-histidine-[translation elongation factor 2] methyltransferase (diphthine methyl ester-[translation elongation factor 2]-forming)	4 S-Adenosyl-L-methionine + Peptide 2-(3-carboxy-3-aminopropyl)-L-histidine <=> 4 S-Adenosyl-L-homocysteine + Peptide diphthine methyl ester	MNXR151019					
R11166	diphthine methyl ester acylhydrolase	Peptide diphthine methyl ester + H2O <=> Peptide diphthine + Methanol	MNXR114465					
R11168	carbon-monoxide:quinone oxidoreductase	CO + Quinone + H2O <=> CO2 + Hydroquinone	MNXR114466					
R11169	protein-Npi-phospho-L-histidine:2-O-alpha-mannopyranosyl-D-glycerate 6'-O-phosphotransferase	Protein N(pi)-phospho-L-histidine + 2-O-(alpha-D-Mannosyl)-D-glycerate <=> Protein histidine + 2-O-(6-Phospho-alpha-mannosyl)-D-glycerate	MNXR114467					
R11170	protein-Npi-phospho-L-histidine:N,N'-diacetylchitobiose 6'-O-phosphotransferase	Protein N(pi)-phospho-L-histidine + Chitobiose <=> Protein histidine + N,N'-Diacetylchitobiose 6'-phosphate	MNXR114468					
R11171	protein-Npi-phospho-L-histidine:D-galactose 6-O-phosphotransferase	Protein N(pi)-phospho-L-histidine + D-Galactose <=> Protein histidine + D-Galactose 6-phosphate	MNXR114469					
R11172	protein-Npi-phospho-L-histidine:cellobiose 6'-O-phosphotransferase	Protein N(pi)-phospho-L-histidine + Cellobiose <=> Protein histidine + 6-Phospho-beta-D-glucosyl-(1,4)-D-glucose	MNXR114470					
R11173	adenosylcobalamin-5'-phosphate phosphohydrolase	Adenosylcobalamin 5'-phosphate + H2O <=> Cobamide coenzyme + Orthophosphate	MNXR151021	30367;30368;30369;30370	rxn25133		RXN-8770	
R11174	adenosylcobinamide-GDP:alpha-ribazole adenosylcobinamide-phosphotransferase	Adenosine-GDP-cobinamide + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole <=> GMP + Adenosylcobalamin 5'-phosphate	MNXR151023	23560;23561;23562;23563	rxn19319;rxn19320		COBALAMIN5PSYN-RXN	
R11175		(R,S)-Nicotine + Oxygen <=> N-Methylmyosmine + Hydrogen peroxide	MNXR114473					
R11176		N-Methylmyosmine + H2O <=> Pseudooxynicotine	MNXR114474		rxn23365		RXN-13077	
R11177	nicotine oxidoreductase	(R,S)-Nicotine + H2O + Oxygen <=> Pseudooxynicotine + Hydrogen peroxide	MNXR114475					
R11178		Pseudooxynicotine + H2O <=> 3-Succinoylpyridine + Methylamine	MNXR114476					
R11179		3-Succinoylpyridine + H2O + Acceptor <=> 6-Hydroxy-3-succinoylpyridine + Reduced acceptor	MNXR114477					
R11180	pseudouridine-5'-phosphate phosphohydrolase	Pseudouridine 5'-phosphate + H2O <=> Pseudouridine + Orthophosphate	MNXR114478	10944;10945;10946;10947	rxn41788		RXN-15703	
R11181	isatin amidohydrolase	Isatin + H2O <=> Isatinate	MNXR114479	43232;43233;43234;43235	rxn23882		RXN-3944	
R11182	acetyl-CoA:glycerone phosphate C-acetyltransferase	Glycerone phosphate + Acetyl-CoA <=> 3-Hydroxy-5-phosphooxypentane-2,4-dione + CoA	MNXR114480	44736;44737;44738;44739	rxn46396		RXN-15943	
R11183	ATP:(S)-4,5-dihydroxypentane-2,3-dione 5-phosphotransferase	ATP + (S)-4,5-Dihydroxypentane-2,3-dione <=> ADP + (4S)-4-Hydroxy-5-phosphooxypentane-2,3-dione	MNXR114481	15377;15378;15379;15380	rxn26350		RXN0-5461	
R11184	ATP:acarbose 7IV-phosphotransferase	ATP + Acarbose <=> ADP + Acarbose 7IV-phosphate	MNXR114482	45124;45125;45126;45127	rxn42383		RXN-16280	
R11185	ATP:2-epi-5-epi-valiolone 7-phosphotransferase	ATP + 2-epi-5-epi-Valiolone <=> ADP + 2-epi-5-epi-Valiolone 7-phosphate	MNXR114483	44364;44365;44366;44367	rxn46783		RXN-16279	
R11186	ditrans,octacis-undecaprenyl-diphosphate:KDO2-lipid-A phosphotransferase	di-trans,poly-cis-Undecaprenyl diphosphate + KDO2-lipid A <=> di-trans,poly-cis-Undecaprenyl phosphate + KDO2-lipid A 1-diphosphate	MNXR114484	45468;45469;45470;45471	rxn40964		RXN-16281	
R11187	dihydromonacolin L-[acyl-carrier protein] hydrolase	Dihydromonacolin L-[acyl-carrier protein] + H2O <=> Acyl-carrier protein + Dihydromonacolin L acid	MNXR114485					
R11188	nucleoside-3',5'-bisphosphate 3'-phosphohydrolase	Nucleoside 3',5'-bisphosphate + H2O <=> Nucleoside 5'-phosphate + Orthophosphate	MNXR114486					
R11189	2,4-dinitroanisole hydrolase	2,4-Dinitroanisole + H2O <=> Methanol + 2,4-Dinitrophenol	MNXR114487	44636;44637;44638;44639	rxn44896		RXN-16303	
R11190		L-Alanyl-gamma-D-glutamyl-L-lysine + H2O <=> L-Alanyl-D-glutamate + L-Lysine	MNXR114488					
R11191	S-adenosyl-L-methionine:6-demethylmitomycin-A 6-O-methyltransferase	S-Adenosyl-L-methionine + 7-Demethylmitomycin A <=> S-Adenosyl-L-homocysteine + Mitomycin A	MNXR191872				RXN-16271	
R11192	S-adenosyl-L-methionine:6-demethylmitomycin-B 6-O-methyltransferase	S-Adenosyl-L-methionine + 7-Demethylmitomycin B <=> S-Adenosyl-L-homocysteine + Mitomycin B	MNXR151025					
R11193	S-adenosyl-L-methionine:(4E,8E)-sphinga-4,8-dienine ceramide C-methyltransferase	S-Adenosyl-L-methionine + (4E,8E)-Sphinga-4,8-dienine ceramide <=> S-Adenosyl-L-homocysteine + 9-Methyl-(4E,8E)-sphinga-4,8-dienine ceramide	MNXR114491	46804;46805;46806;46807	rxn43767		RXN-16336	
R11194	2,4-dimethylphenol:oxidized azurin oxidoreductase (methyl-hydroxylating)	2,4-Dimethylphenol + 4 Oxidized azurin + H2O <=> 4-Hydroxy-3-methylbenzaldehyde + 4 Reduced azurin + 4 H+	MNXR114492					
R11195	4-hydroxy-3-methylbenzaldehyde:NADP+ oxidoreductase	4-Hydroxy-3-methylbenzaldehyde + NADP+ + H2O <=> 4-Hydroxy-3-methylbenzoate + NADPH + H+	MNXR114493		rxn43127		RXN-16970	
R11196		4-Hydroxy-3-methylbenzoate <=> 4-Hydroxyisophthalate	MNXR114494					
R11197		4-Hydroxyisophthalate + Oxygen + NADH + H+ <=> 3,4-Dihydroxybenzoate + H2O + NAD+ + CO2	MNXR114495					
R11198		4-Hydroxyisophthalate + Oxygen + NADPH + H+ <=> 3,4-Dihydroxybenzoate + H2O + NADP+ + CO2	MNXR114496		rxn42482		RXN-16974	
R11199	sinapoyl-CoA:spermidine N-sinapoyltransferase	2 Sinapoyl-CoA + Spermidine <=> 2 CoA + N1,N8-Bis(sinapoyl)spermidine	MNXR114497	45168;45169;45170;45171	rxn43734		RXN-16472	
R11200	4-coumaroyl-CoA:spermidine N-(4-coumaroyl)transferase	2 p-Coumaroyl-CoA + Spermidine <=> 2 CoA + N1,N8-Bis(4-coumaroyl)spermidine	MNXR114498	45180;45181;45182;45183	rxn42518		RXN-16473	
R11201	(9Z)-hexadec-9-enoyl-CoA:[Wnt]-L-serine O-hexadecenoyltransferase	Palmitoleoyl-CoA + [Wnt]-L-serine <=> CoA + [Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine	MNXR114499					
R11202	[Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine acylhydrolase	[Wnt]-O-(9Z)-hexadec-9-enoyl-L-serine + H2O <=> [Wnt]-L-serine + (9Z)-Hexadecenoic acid	MNXR114500					
R11203	5'-triphospho-mRNA:GDP 5'-phosphopolyribonucleotidyltransferase [G(5')ppp-mRNA-forming]	5'-Triphospho-[mRNA] + GDP <=> Diphosphate + G(5')pppPur-mRNA	MNXR114501					
R11204	phosphatidylethanolamine:KDO2-lipid-A 7''-O-ethanolaminephosphotransferase	Phosphatidylethanolamine + KDO2-lipid A <=> 1,2-Diacyl-sn-glycerol + PEtN-KDO2-lipid A	MNXR114502					
R11205	phosphatidylethanolamine:KDO2-lipid-IVA 7''-O-ethanolaminephosphotransferase	Phosphatidylethanolamine + KDO2-lipid IVA <=> 1,2-Diacyl-sn-glycerol + PEtN-KDO2-lipid IV(A)	MNXR114503					
R11206	3-(3,4-dihydroxyphenyl)propanoyl-CoA:(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoate CoA-transferase	Dihydrocaffeoyl-CoA + Caffeate <=> 3,4-Dihydroxyphenylpropanoate + Caffeoyl-CoA	MNXR114504	38027;38028;38029;38030	rxn42997		RXN-16745	
R11207	[prokaryotic ubiquitin-like protein]:[protein]-L-lysine ligase (ADP-forming)	ATP + Prokaryotic ubiquitin-like protein + Protein lysine <=> ADP + Orthophosphate + Pupylated protein	MNXR114505					
R11208	pupylated-protein depupylase	Pupylated protein + H2O <=> Prokaryotic ubiquitin-like protein + Protein lysine	MNXR114506					
R11209	[prokaryotic ubiquitin-like protein]-L-glutamine amidohydrolase	[Prokaryotic ubiquitin-like protein]-L-glutamine + H2O <=> Prokaryotic ubiquitin-like protein + Ammonia	MNXR114507					
R11210	(-)-yatein,2-oxoglutarate:oxygen oxidoreductase (ring-forming)	Dihydroanhydropodorhizol + 2-Oxoglutarate + Oxygen <=> Deoxypodophyllotoxin + Succinate + CO2 + H2O	MNXR114508	48744;48745;48746;48747	rxn41267		RXN-16344	
R11211	(-)-bursehernin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (5'-hydroxylating)	Bursehernin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (-)-5'-Demethylyatein + [Oxidized NADPH---hemoprotein reductase] + H2O	MNXR151027					
R11212	(-)-deoxypodophyllotoxin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating)	4'-Demethyldeoxypodophyllotoxin + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4'-Demethylepipodophyllotoxin + [Oxidized NADPH---hemoprotein reductase] + H2O	MNXR151029					
R11213	2-dehydro-3,6-dideoxy-6-sulfo-D-gluconate (2S)-3-sulfolactaldehyde-lyase (pyruvate-forming)	2-Dehydro-3,6-dideoxy-6-sulfo-D-gluconate <=> (2S)-3-Sulfolactaldehyde + Pyruvate	MNXR114511	47924;47925;47926;47927	rxn40610		RXN-17098	
R11214	6-deoxy-6-sulfo-D-gluconate hydro-lyase (2-dehydro-3,6-dideoxy-6-sulfo-D-gluconate-forming)	6-Deoxy-6-sulfo-D-gluconate <=> 2-Dehydro-3,6-dideoxy-6-sulfo-D-gluconate + H2O	MNXR114512	47912;47913;47914;47915	rxn43870		RXN-17097	
R11215	6-tuliposide-B D-glucose-lyase (tulipalin-B-forming)	6-Tuliposide B <=> Tulipalin B + D-Glucose	MNXR114513		rxn48352		RXN-16963	
R11216	S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase	S-Adenosyl-L-methionine + Protein-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N(omega)-methyl-L-arginine	MNXR114514					
R11217	S-adenosyl-L-methionine:[protein]-N(omega)-methyl-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)-dimethyl-L-arginine-forming)	S-Adenosyl-L-methionine + Protein N(omega)-methyl-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)-dimethyl-L-arginine	MNXR114515					
R11218	S-adenosyl-L-methionine:[protein]-N(omega)-methyl-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)'-dimethyl-L-arginine-forming)	S-Adenosyl-L-methionine + Protein N(omega)-methyl-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)'-dimethyl-L-arginine	MNXR114516					
R11219	S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)-dimethyl-L-arginine-forming)	2 S-Adenosyl-L-methionine + Protein-L-arginine <=> 2 S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)-dimethyl-L-arginine	MNXR114517					
R11220	S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)'-dimethyl-L-arginine-forming)	2 S-Adenosyl-L-methionine + Protein-L-arginine <=> 2 S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)'-dimethyl-L-arginine	MNXR114518					
R11221	S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N5-methyl-L-arginine-forming)	S-Adenosyl-L-methionine + Protein-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N5-methyl-L-arginine	MNXR114519					
R11222	(-)-matairesinol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (methylenedioxy-bridge-forming)	Matairesinol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Pluviatolide + [Oxidized NADPH---hemoprotein reductase] + 2 H2O	MNXR151031					
R11223	1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine:lipid A in lipopolysaccharide palmitoyltransferase	Palmitoylphosphatidylcholine + Hexa-acyl lipid A in lipopolysaccharide <=> 2-Acyl-sn-glycero-3-phosphocholine + Hepta-acyl lipid A in lipopolysaccharide	MNXR114521					
R11224	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate:dolichyl N-acetyl-alpha-D-glucosaminyl-phosphate 3-beta-D-2,3-diacetamido-2,3-dideoxy-beta-D-glucuronosyltransferase	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate + Archaeal dolichyl N-acetyl-alpha-D-glucosaminyl phosphate <=> UDP + Archaeal dolichyl 3-O-(2,3-diacetamido-2,3-dideoxy-beta-D-glucuronsyl)-N-acetyl-alpha-D-glucosaminyl phosphate	MNXR151033					
R11225	dimethylallyl-phosphate:FMNH2 prenyltransferase	Dimethylallyl phosphate + Reduced FMN <=> Prenylated FMNH2 + Orthophosphate	MNXR114523		rxn46694		RXN-16937	
R11226	bacteriochlorophyll a:NADP+ oxidoreductase (geranylgeranyl-reducing)	Bacteriochlorophyll a + 3 NADP+ <=> Geranylgeranyl bacteriochlorophyllide a + 3 NADPH + 3 H+	MNXR151035					
R11227		Pheophorbide a + 2 Reduced ferredoxin + 2 H+ + Oxygen <=> Epoxypheophorbide a + 2 Oxidized ferredoxin + H2O	MNXR151037					
R11228		Epoxypheophorbide a + H2O <=> Red chlorophyll catabolite	MNXR151964					
R11229	GTP:gentamicin-C 2''-O-phosphotransferase	GTP + Gentamicin C <=> GDP + Gentamicin C 2''-phosphate	MNXR114527					
R11230	S-adenosyl-L-methionine:(-)-pluviatolide 4-O-methyltransferase	S-Adenosyl-L-methionine + Pluviatolide <=> S-Adenosyl-L-homocysteine + Bursehernin	MNXR114528	49036;49037;49038;49039	rxn47609		RXN-16361	
R11231		(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + NAD+ + 2 H2O <=> L-2-Aminoadipate + NADH + H+	MNXR114529	49476;49477;49478;49479	rxn21161		RXN-8162	
R11232		(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate + NADP+ + 2 H2O <=> L-2-Aminoadipate + NADPH + H+	MNXR114530	49480;49481;49482;49483	rxn37033			
R11233		5-epi-Valiolone <=> Valienone + H2O	MNXR114531		rxn25387		RXN-9142	
R11234	ATP:valienone 7-phosphotransferase	Valienone + ATP <=> Valienone 7-phosphate + ADP	MNXR139857	49420;49421;49422;49423	rxn25389		RXN-9144	
R11235		Valienone 7-phosphate <=> 1-epi-Valienol 7-phosphate	MNXR139858					
R11236		Valienone 7-phosphate <=> Validone 7-phosphate	MNXR139859		rxn25391			
R11237		1-epi-Valienol 1-phosphate + Nucleoside triphosphate <=> NDP-1-epi-valienol + Diphosphate	MNXR114535					
R11238		Validone 7-phosphate <=> Validamine 7-phosphate	MNXR114536					
R11239		Validamine 7-phosphate + NDP-1-epi-valienol <=> Validoxylamine A 7'-phosphate + NDP	MNXR114537					
R11240		Validoxylamine A 7'-phosphate + H2O <=> Validoxylamine A + Orthophosphate	MNXR114538	49400;49401;49402;49403	rxn44350		RXN-17380	
R11241		Validoxylamine A + UDP-glucose <=> Validamycin A + UDP	MNXR143726	49388;49389;49390;49391	rxn25393;rxn37406		RXN-9148	
R11242	6-deoxy-6-sulfo-D-glucono-1,5-lactone lactonohydrolase	6-Deoxy-6-sulfo-D-glucono-1,5-lactone + H2O <=> 6-Deoxy-6-sulfo-D-gluconate	MNXR114540	47908;47909;47910;47911	rxn41692		RXN-17095	
R11243		5-epi-Valiolone 7-phosphate + NADH + H+ <=> 5-epi-Valiolol 7-phosphate + NAD+	MNXR114541					
R11244		5-epi-Valiolol 7-phosphate <=> 1-epi-Valienol 7-phosphate	MNXR114542					
R11245		1-epi-Valienol 7-phosphate <=> 1,7-Diphospho-1-epi-valienol	MNXR114543					
R11246		1,7-Diphospho-1-epi-valienol + Nucleoside triphosphate <=> NDP-1-epi-valienol 7-phosphate + Diphosphate	MNXR114544					
R11247		NDP-1-epi-valienol 7-phosphate + dTDP-4-amino-4,6-dideoxy-D-glucose <=> dTDP-acarviose-7-phosphate	MNXR114545					
R11248		dTDP-acarviose-7-phosphate <=> Acarbose 7IV-phosphate	MNXR114546					
R11249		1-epi-Valienol 7-phosphate <=> 1-epi-Valienol 1-phosphate	MNXR114547					
R11250		NDP-1-epi-valienol + 2-Amino-1,5-anhydro-2-deoxyglucitol <=> Salbostatin 6'-phosphate + NDP	MNXR114548					
R11251		Salbostatin 6'-phosphate + H2O <=> Salbostatin + Orthophosphate	MNXR114549					
R11252		2-Amino-5-epi-valiolone <=> 2-Aminovalienone	MNXR139860					
R11253		5-epi-Valiolone <=> 2-Keto-5-epi-valiolone	MNXR139861					
R11254		2-Keto-5-epi-valiolone <=> 2-Amino-5-epi-valiolone	MNXR139862					
R11255		Cetoniacytone B <=> Cetoniacytone A	MNXR114553					
R11256	4-alpha-D-[(1->4)-alpha-D-glucano]trehalose glucanohydrolase (trehalose-producing)	1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside + H2O <=> alpha,alpha-Trehalose + Maltodextrin	MNXR114554					
R11257	(2Z)-4,6-dioxohept-2-enedioate acylhydrolase	Maleylpyruvate + H2O <=> Maleic acid + Pyruvate	MNXR114555	47956;47957;47958;47959	rxn20920		RXN-10447	
R11258	[protein]-N-pros-phospho-L-histidine phosphohydrolase	Protein N(pi)-phospho-L-histidine + H2O <=> Protein histidine + Orthophosphate	MNXR114556					
R11259	[protein]-N-tele-phospho-L-histidine phosphohydrolase	Protein N(tau)-phospho-L-histidine + H2O <=> Protein histidine + Orthophosphate	MNXR114557					
R11260		Starch <=> Cyclomaltodextrin	MNXR114558					
R11261		Starch + n H2O <=> (n+1) Maltodextrin						
R11262	maltodextrin maltohydrolase	Maltodextrin + H2O <=> Maltose	MNXR114560					
R11263	(2S,3S)-2-hydroxybutane-1,2,3-tricarboxylate hydro-lyase (2-methyl-trans-aconitate forming)	2-Methylcitrate <=> 2-Methyl-trans-aconitate + H2O	MNXR114561	26522;26523;26524;26525	rxn25279		RXN-8979	
R11264		2-Methyl-trans-aconitate <=> (Z)-But-2-ene-1,2,3-tricarboxylate	MNXR114562	37751;37752;37753;37754	rxn25278		RXN-8977	
R11265	ribostamycin:NAD+ 3''-oxidoreductase	Ribostamycin + NAD+ <=> 3''-Oxoribostamycin + NADH + H+	MNXR114563					
R11266	xylostasin:NADP+ 3''-oxidoreductase	3''-Oxoribostamycin + NADPH + H+ <=> Xylostasin + NADP+	MNXR114564					
R11267	kanamycin-X:oxygen 6'-oxidoreductase	Kanamycin X + Oxygen <=> 6'-Oxokanamycin X + Hydrogen peroxide	MNXR114565					
R11268	kanamycin-C:oxygen 6'-oxidoreductase	Kanamycin C + Oxygen <=> 6'-Oxokanamycin C + Hydrogen peroxide	MNXR114566					
R11269	kanamycin-A:2-oxoglutarate aminotransferase	Kanamycin A + 2-Oxoglutarate <=> 6'-Oxokanamycin X + L-Glutamate	MNXR114567					
R11270	kanamycin-B:2-oxoglutarate aminotransferase	Kanamycin B + 2-Oxoglutarate <=> 6'-Oxokanamycin C + L-Glutamate	MNXR114568					
R11271	UDP-alpha-D-glucose:2'-deamino-2'-hydroxyneamine alpha-D-glucosyltransferase	UDP-glucose + 2'-Deamino-2'-hydroxyneamine <=> UDP + Kanamycin D	MNXR143727	35919;35920;35921;35922	rxn23421		RXN-13148	
R11272	UDP-alpha-D-glucose:neamine alpha-D-glucosyltransferase	UDP-glucose + Neamine <=> UDP + 3''-Deamino-3''-hydroxykanamycin B	MNXR143728	35923;35924;35925;35926	rxn23422		RXN-13149	
R11273	lividamine:oxygen 6'-oxidoreductase	Lividamine + Oxygen <=> 6'-Oxolividamine + Hydrogen peroxide	MNXR114571					
R11274		Paromamine + S-Adenosyl-L-methionine + Reduced acceptor <=> 4'-Oxolividamine + L-Methionine + 5'-Deoxyadenosine + Acceptor + H2O	MNXR114572					
R11275		Neamine + S-Adenosyl-L-methionine + Reduced acceptor <=> 4'-Oxonebramine + L-Methionine + 5'-Deoxyadenosine + Acceptor + H2O	MNXR114573					
R11276	lividamine:NADP+ 4'-oxidoreductase	4'-Oxolividamine + NADPH + H+ <=> Lividamine + NADP+	MNXR114574					
R11277	nebramine:NADP+ 4'-oxidoreductase	4'-Oxonebramine + NADPH + H+ <=> Nebramine + NADP+	MNXR114575					
